case,sample,target_removed_fraction,node_relerr_vs_ref,VI_bits_vs_ref,top1_absdiff_vs_ref,gini_absdiff_vs_ref
rescue_looser,alzheimers,0.4,3.755304367418979e-05,0.24730852289379968,0.00558336113891672,0.0007487676292570189
rescue_looser,alzheimers,0.55,0.02123417406041272,0.780401038597919,0.013791569347124888,0.006049377483229312
rescue_looser,gbm_reference_addon,0.05,0.0,0.0,0.0,0.0
rescue_looser,gbm_reference_addon,0.1,0.002527723418134377,0.007078309164537444,0.0007581871988651678,0.0021887241019629133
rescue_looser,gbm_reference_addon,0.2,0.002404068423485899,0.033106831286239924,0.0006358989409836757,0.001791075067440584
rescue_looser,gbm_reference_addon,0.4,8.258320257659592e-05,0.49313389081411785,2.4457651576326178e-05,7.203298366342814e-05
rescue_looser,gbm_reference_addon,0.55,0.021428179974790375,1.0425394882633405,0.0008315601535940353,0.007969018702711939
rescue_tighter,healthy_reference,0.05,0.0,0.0,0.0,0.0
rescue_tighter,healthy_reference,0.1,0.0,0.0,0.0,0.0
rescue_tighter,healthy_reference,0.2,0.00759297520661157,0.022484451570402797,0.0012701794640662123,0.005734430613040242
rescue_tighter,healthy_reference,0.4,0.00532982626150758,0.06655954508891071,0.005982135540440858,0.0024711043822991385
rescue_tighter,healthy_reference,0.55,0.000827053850395148,0.191837279788313,0.0015569941817585864,0.00014400478810050465
rescue_tighter,alzheimers,0.05,0.0,0.0,0.0,0.0
rescue_tighter,alzheimers,0.1,0.0,0.0,0.0,0.0
rescue_tighter,alzheimers,0.2,0.0075965689297527615,0.022700244749906062,0.0012456901345790222,0.005643063335330156
rescue_tighter,alzheimers,0.4,0.005332532201734951,0.17857548207376794,0.0049605160716271746,0.002162244919726941
rescue_tighter,alzheimers,0.55,0.0009969095803010668,0.695636374547913,0.01583806028250473,0.001214901728836093
rescue_tighter,gbm_reference_addon,0.05,0.0,0.0,0.0,0.0
rescue_tighter,gbm_reference_addon,0.1,0.0,0.0,0.0,0.0
rescue_tighter,gbm_reference_addon,0.2,0.007612883341038681,0.027311587308837204,0.002568053415511029,0.005774166168756478
rescue_tighter,gbm_reference_addon,0.4,0.005326616566190437,0.44882652536181666,0.001002763714628152,0.0027769091343554653
rescue_tighter,gbm_reference_addon,0.55,0.0008220529402093495,1.0641058437206148,0.0031550370533421357,0.0002719598922817923
soft_early,healthy_reference,0.05,0.0,0.0,0.0,0.0
soft_early,healthy_reference,0.1,0.005009791865919752,0.01260675294856739,0.0009833647463738382,0.004324212315646614
soft_early,healthy_reference,0.2,0.010227272727272727,0.08913863634340302,0.005326559042858309,0.007167436850293196
soft_early,healthy_reference,0.4,0.0008306222745206618,0.0788891486106742,0.002786200114725884,0.00017788128691109684
