mass,count,pmf_collective,sample,state,u
19,10,0.008298755186721992,healthy_reference,endpoint,0.5623617143325412
20,10,0.008298755186721992,healthy_reference,endpoint,0.5623617143325412
21,7,0.005809128630705394,healthy_reference,endpoint,0.5623617143325412
22,10,0.008298755186721992,healthy_reference,endpoint,0.5623617143325412
23,6,0.004979253112033195,healthy_reference,endpoint,0.5623617143325412
24,6,0.004979253112033195,healthy_reference,endpoint,0.5623617143325412
25,5,0.004149377593360996,healthy_reference,endpoint,0.5623617143325412
26,6,0.004979253112033195,healthy_reference,endpoint,0.5623617143325412
27,4,0.0033195020746887966,healthy_reference,endpoint,0.5623617143325412
28,4,0.0033195020746887966,healthy_reference,endpoint,0.5623617143325412
30,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
31,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
32,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
33,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
34,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
35,5,0.004149377593360996,healthy_reference,endpoint,0.5623617143325412
36,3,0.0024896265560165973,healthy_reference,endpoint,0.5623617143325412
37,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
38,4,0.0033195020746887966,healthy_reference,endpoint,0.5623617143325412
39,6,0.004979253112033195,healthy_reference,endpoint,0.5623617143325412
40,3,0.0024896265560165973,healthy_reference,endpoint,0.5623617143325412
41,4,0.0033195020746887966,healthy_reference,endpoint,0.5623617143325412
42,4,0.0033195020746887966,healthy_reference,endpoint,0.5623617143325412
43,3,0.0024896265560165973,healthy_reference,endpoint,0.5623617143325412
44,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
45,3,0.0024896265560165973,healthy_reference,endpoint,0.5623617143325412
46,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
47,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
48,3,0.0024896265560165973,healthy_reference,endpoint,0.5623617143325412
49,4,0.0033195020746887966,healthy_reference,endpoint,0.5623617143325412
50,3,0.0024896265560165973,healthy_reference,endpoint,0.5623617143325412
52,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
54,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
55,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
57,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
58,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
59,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
60,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
62,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
65,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
66,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
67,3,0.0024896265560165973,healthy_reference,endpoint,0.5623617143325412
68,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
69,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
70,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
72,3,0.0024896265560165973,healthy_reference,endpoint,0.5623617143325412
74,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
76,3,0.0024896265560165973,healthy_reference,endpoint,0.5623617143325412
80,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
82,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
85,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
87,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
90,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
93,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
96,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
97,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
99,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
100,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
103,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
104,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
109,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
112,2,0.0016597510373443983,healthy_reference,endpoint,0.5623617143325412
113,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
115,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
124,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
131,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
132,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
140,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
142,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
144,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
149,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
180,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
195,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
208,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
314,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
597,1,0.0008298755186721991,healthy_reference,endpoint,0.5623617143325412
